CaseID,Duration,B2,B7_a,B7_b,D1A,D1E,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h
1845,966,living comfortably,excellent,excellent,no,no,yes,no,yes,no,no,no,no,no
1846,800,just getting by,only fair,only fair,no,yes,no,no,yes,no,no,no,no,no
1847,1628,doing okay,only fair,good,yes,yes,no,no,yes,no,no,no,no,no
1848,759,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
1849,1440,living comfortably,only fair,good,no,no,yes,no,no,no,no,no,no,no
1850,1513,living comfortably,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
1851,535,doing okay,good,only fair,yes,no,yes,no,no,no,no,no,no,no
1852,12011,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
1853,1857,doing okay,only fair,only fair,no,yes,no,no,yes,no,no,no,no,no
1854,1321,doing okay,only fair,poor,no,yes,no,yes,no,no,no,no,no,no
1855,1087,doing okay,excellent,good,no,no,no,no,yes,no,no,no,no,no
1856,1119,living comfortably,good,good,yes,yes,no,no,yes,no,no,no,no,no
1857,881,just getting by,poor,poor,yes,no,no,no,yes,no,no,no,no,no
1858,236211,just getting by,good,good,yes,yes,no,no,no,no,yes,no,no,no
1859,1775,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
1860,879,doing okay,only fair,only fair,no,no,no,no,no,no,yes,no,no,no
1861,1051,just getting by,good,only fair,no,no,yes,yes,yes,no,no,no,no,no
1862,1334,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
1863,2144,finding it difficult to get by,poor,only fair,yes,yes,no,no,no,no,yes,no,no,yes
1864,854,doing okay,good,only fair,yes,no,yes,no,no,no,no,no,no,no
1865,852,living comfortably,good,only fair,no,yes,no,no,yes,no,no,no,no,no
1866,939,living comfortably,excellent,excellent,yes,no,yes,no,no,no,no,no,no,no
1867,661,just getting by,good,poor,yes,yes,no,yes,no,no,no,no,no,no
1868,1466,doing okay,only fair,poor,yes,no,no,no,no,no,no,no,no,yes
1869,3960,just getting by,good,good,yes,yes,yes,no,no,no,no,no,no,no
1870,588,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
1871,1153,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
1872,1212,doing okay,good,good,no,no,yes,no,yes,no,no,no,no,no
1873,1288,living comfortably,excellent,excellent,yes,no,no,no,yes,no,no,no,no,no
1874,1500,living comfortably,only fair,good,no,no,yes,no,yes,no,no,no,no,no
1875,528,living comfortably,excellent,only fair,yes,no,no,no,yes,no,no,no,no,no
1876,721,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
1877,1351,doing okay,good,good,no,no,no,yes,no,no,no,no,no,no
1878,875,just getting by,good,only fair,no,no,yes,no,no,no,no,no,no,no
1879,1092,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
1880,2570,doing okay,only fair,poor,yes,no,no,no,no,no,no,no,no,yes
1881,1413,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
1882,1800,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
1883,1705,doing okay,poor,poor,no,no,no,no,yes,no,no,no,no,no
1884,4048,doing okay,good,only fair,yes,,no,no,yes,no,no,no,no,no
1885,1256,just getting by,good,good,no,no,no,no,no,no,yes,no,yes,no
1886,8718,just getting by,good,only fair,yes,no,no,yes,no,no,no,no,no,no
1887,1394,living comfortably,good,poor,no,no,no,no,yes,no,no,no,no,no
1888,1587,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
1889,3083,just getting by,good,only fair,yes,no,no,no,yes,no,no,no,no,no
1890,1297,doing okay,good,only fair,yes,no,no,no,yes,no,no,no,no,no
1891,1945,doing okay,good,good,yes,no,no,yes,no,no,no,no,no,no
1892,825,doing okay,good,good,yes,no,yes,no,yes,no,no,no,no,no
1893,916,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
1894,20741,living comfortably,only fair,only fair,yes,no,yes,no,yes,no,no,no,no,no
1895,1000,doing okay,good,only fair,yes,no,no,no,yes,no,no,no,no,no
1897,3244,doing okay,only fair,only fair,no,no,no,no,yes,no,yes,no,no,no
1898,911,finding it difficult to get by,poor,poor,yes,yes,no,no,no,no,no,no,no,yes
1899,1074,living comfortably,only fair,good,no,no,yes,no,no,no,no,no,no,no
1900,1194,living comfortably,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
1901,1675,living comfortably,excellent,excellent,yes,yes,yes,no,no,no,no,no,no,no
1902,1476,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
1903,1830,doing okay,poor,only fair,yes,no,no,no,yes,no,no,no,no,no
1904,610,just getting by,only fair,poor,no,no,no,yes,no,no,no,no,no,no
1905,1068,,good,poor,no,no,no,no,yes,no,no,no,no,no
1906,1527,just getting by,good,good,yes,no,yes,no,no,no,no,no,no,no
1907,1365,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
1908,487,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
1909,564,living comfortably,good,good,yes,no,yes,no,yes,no,no,no,no,no
1910,1017,living comfortably,good,good,no,no,yes,no,yes,no,no,no,no,no
1911,1085,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
1912,791,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
1913,24582,doing okay,only fair,good,no,yes,no,no,no,no,no,no,no,yes
1914,3442,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
1915,1279,just getting by,good,only fair,yes,yes,no,no,no,no,no,no,no,yes
1916,986,living comfortably,only fair,good,no,no,no,no,yes,no,no,no,no,no
1917,1300,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
1918,620,doing okay,poor,only fair,no,no,yes,no,no,no,no,no,no,no
1919,1846,living comfortably,only fair,good,no,no,yes,no,yes,no,no,no,no,no
1920,1512,living comfortably,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
1921,1020,just getting by,good,only fair,no,no,no,yes,no,no,no,no,no,no
1922,2569,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
1923,1563,doing okay,good,good,no,no,no,yes,no,no,no,no,no,no
1924,1395,living comfortably,good,good,yes,no,yes,no,yes,no,no,no,no,no
1925,2864,doing okay,good,only fair,yes,no,yes,no,yes,no,no,no,no,no
1926,1259,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
1927,4528,living comfortably,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
1928,1494,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
1929,907,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
1930,885,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
1931,1508,living comfortably,good,only fair,no,no,yes,no,yes,no,no,no,no,no
1932,1110,doing okay,only fair,only fair,no,no,yes,no,yes,no,no,no,no,no
1933,21809,living comfortably,good,excellent,yes,no,yes,no,no,no,no,no,no,no
1934,4216,just getting by,only fair,only fair,no,no,no,yes,no,no,no,no,no,no
1935,76495,doing okay,excellent,good,yes,yes,yes,no,no,no,no,no,no,no
1936,558,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
1937,855,just getting by,good,good,yes,no,no,no,no,no,no,no,no,yes
1938,1306,living comfortably,excellent,excellent,no,no,yes,no,yes,no,no,no,no,no
1939,614,doing okay,only fair,good,yes,yes,no,no,no,no,no,no,no,yes
1940,1174,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
1941,3581,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
1942,1458,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
1943,1631,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
1944,2182,living comfortably,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
1945,769,doing okay,excellent,only fair,no,no,no,yes,no,no,no,no,no,no
1946,926,living comfortably,excellent,excellent,no,no,yes,no,no,no,no,no,no,no
1947,1210,finding it difficult to get by,only fair,only fair,no,yes,no,no,no,no,no,no,no,yes
1948,1165,just getting by,only fair,only fair,yes,yes,no,no,yes,no,no,no,no,no
1949,1011,doing okay,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
1950,1265,doing okay,good,good,yes,yes,no,no,yes,no,no,no,no,no
1951,1469,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
1952,784,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
1953,1146,just getting by,good,good,yes,no,no,no,no,no,yes,no,no,yes
1954,1474,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
1955,1256,just getting by,good,good,no,no,no,yes,no,no,no,no,no,no
1956,1699,doing okay,good,excellent,yes,no,yes,no,no,no,no,no,no,no
1957,41582,doing okay,only fair,excellent,yes,yes,no,no,no,no,no,no,no,yes
1958,1059,finding it difficult to get by,poor,poor,no,yes,no,yes,no,no,no,no,no,no
1959,2287,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
1960,996,living comfortably,good,good,no,no,no,no,no,no,no,no,no,yes
1961,1029,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
1962,671,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
1963,1460,just getting by,good,only fair,no,no,no,no,no,no,no,no,no,yes
1964,1175,living comfortably,good,only fair,no,no,yes,no,yes,no,no,no,no,no
1965,927,doing okay,good,only fair,no,no,yes,no,no,no,no,no,no,no
1966,819,doing okay,only fair,only fair,no,no,no,no,no,no,yes,no,no,no
1967,1817,doing okay,good,only fair,no,no,yes,no,no,no,no,no,no,no
1968,1180,doing okay,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
1969,1915,just getting by,only fair,only fair,yes,yes,no,no,no,no,no,no,no,yes
1970,1509,living comfortably,good,only fair,no,no,yes,no,yes,no,no,no,no,no
1971,8285,just getting by,only fair,only fair,yes,yes,no,yes,no,no,no,no,no,no
1972,885,living comfortably,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
1973,1450,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
1974,1316,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
1975,1819,living comfortably,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
1976,648,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
1977,1720,just getting by,only fair,poor,no,no,no,no,yes,no,no,no,no,no
1978,1423,doing okay,only fair,good,no,no,yes,no,no,no,no,no,no,no
1979,642,just getting by,only fair,good,no,yes,no,no,yes,no,yes,no,yes,no
1980,1684,doing okay,good,only fair,no,no,yes,no,no,no,no,no,no,no
1981,1163,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
1982,1949,doing okay,only fair,good,no,no,no,no,yes,no,no,no,no,no
1983,1433,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
1984,275611,living comfortably,good,good,yes,no,no,no,no,no,yes,no,no,no
1985,1742,finding it difficult to get by,only fair,only fair,no,yes,no,no,yes,no,yes,no,no,no
1986,90592,just getting by,only fair,good,yes,yes,no,yes,no,no,no,yes,no,no
1987,1522,doing okay,only fair,good,yes,no,no,no,yes,no,no,no,no,no
1988,927,living comfortably,only fair,only fair,yes,yes,no,no,yes,no,no,no,no,no
1989,1223,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
1990,86597,doing okay,good,excellent,yes,no,no,no,yes,no,no,no,no,no
1991,1018,living comfortably,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
1992,1480,living comfortably,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
1993,1348,living comfortably,only fair,only fair,yes,yes,no,no,yes,no,no,no,no,no
1994,3247,living comfortably,excellent,good,no,no,yes,no,yes,no,no,no,no,no
1995,710,doing okay,excellent,excellent,yes,no,no,no,yes,no,no,no,no,no
1996,1473,doing okay,good,good,yes,yes,no,no,yes,no,no,no,no,no
1997,2593,living comfortably,excellent,excellent,yes,no,yes,no,yes,no,no,no,no,no
1998,1696,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
1999,881,living comfortably,good,good,no,no,yes,no,yes,no,no,no,no,no
2000,1340,living comfortably,excellent,good,no,no,yes,no,no,no,no,no,no,no
2001,1388,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
2002,792,living comfortably,excellent,good,yes,no,no,no,yes,no,no,no,no,no
2003,850,living comfortably,excellent,excellent,yes,no,yes,no,yes,no,no,no,no,no
2004,2014,doing okay,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
2005,873,doing okay,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
2006,1193,finding it difficult to get by,poor,only fair,no,yes,no,no,no,no,no,no,no,yes
2007,817,just getting by,only fair,poor,no,no,no,yes,no,no,no,no,no,no
2008,1900,finding it difficult to get by,only fair,only fair,no,yes,no,yes,yes,no,yes,no,no,no
2009,773,doing okay,only fair,good,yes,no,no,no,yes,no,no,no,no,no
2010,705,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
2011,1208,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
2012,1717,just getting by,only fair,only fair,yes,yes,no,no,no,no,yes,no,no,no
2013,45449,just getting by,only fair,only fair,no,no,no,no,no,no,no,no,yes,no
2014,1109,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
2015,1290,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
2016,1794,finding it difficult to get by,poor,only fair,yes,yes,no,yes,yes,yes,no,no,yes,no
2017,6844,living comfortably,good,good,yes,no,yes,no,yes,no,no,no,no,no
2018,963,doing okay,good,good,yes,no,no,yes,no,no,no,no,no,no
2019,1234,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
2020,3577,living comfortably,excellent,good,no,no,no,no,yes,no,no,no,no,no
2021,1439,living comfortably,only fair,good,yes,no,no,no,yes,no,no,no,no,no
2022,1332,doing okay,good,good,yes,no,no,no,no,no,no,yes,no,no
2023,1032,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
2024,2610,just getting by,good,good,yes,no,yes,no,yes,no,no,no,no,no
2025,1193,finding it difficult to get by,poor,only fair,no,yes,no,no,no,no,no,no,no,yes
2026,1013,doing okay,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
2027,1466,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
2028,27252,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
2029,1972,just getting by,only fair,only fair,no,yes,no,no,no,yes,yes,yes,yes,no
2030,698,doing okay,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
2031,986,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
2032,1240,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
2033,2496,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
2034,875,living comfortably,excellent,excellent,yes,no,yes,no,no,no,no,no,no,no
2035,679,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
2036,1198,finding it difficult to get by,only fair,only fair,no,no,no,no,no,no,no,no,no,yes
2037,936,doing okay,good,only fair,yes,no,no,no,no,no,no,yes,no,no
2038,7316,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
2039,1024,living comfortably,excellent,excellent,no,no,yes,no,no,no,no,no,no,no
2040,2114,living comfortably,good,excellent,yes,no,yes,no,yes,no,no,no,no,no
2041,1356,doing okay,only fair,only fair,no,no,no,yes,no,yes,no,no,no,no
2042,987,living comfortably,excellent,only fair,no,no,no,no,yes,no,no,no,no,no
2043,933,doing okay,good,only fair,no,no,yes,no,no,no,no,no,no,no
2044,1446,doing okay,good,excellent,yes,no,no,no,yes,no,no,no,no,no
2045,690,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
2046,777,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
2047,426200,living comfortably,excellent,only fair,no,no,no,no,yes,no,no,no,no,no
2048,1220,doing okay,excellent,good,no,no,yes,no,no,no,no,no,no,no
2049,2193,doing okay,good,only fair,yes,no,yes,yes,yes,no,no,no,no,no
2050,1148,living comfortably,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
2051,1246,living comfortably,excellent,good,no,no,yes,no,no,no,no,no,no,no
2052,1045,living comfortably,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
2053,1426,living comfortably,only fair,good,yes,yes,yes,no,no,no,no,no,no,no
2054,4468,just getting by,only fair,only fair,no,yes,no,no,no,no,no,no,no,yes
2055,851,just getting by,good,only fair,no,yes,no,no,yes,no,no,no,no,no
2056,1061,doing okay,good,good,no,yes,yes,no,no,no,no,no,no,no
2057,1258,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
2058,565,living comfortably,good,only fair,no,yes,yes,no,yes,no,no,no,no,no
2059,1312,doing okay,good,poor,yes,yes,no,no,yes,no,no,no,no,no
2060,1445,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
2061,1280,doing okay,only fair,only fair,yes,yes,no,no,no,yes,no,no,no,no
2062,987,living comfortably,good,excellent,no,no,no,no,yes,no,no,no,no,no
2063,1640,finding it difficult to get by,only fair,only fair,yes,yes,no,no,no,no,no,no,no,yes
2064,837,doing okay,good,excellent,yes,no,yes,no,no,no,no,no,no,no
2065,897,just getting by,good,good,no,yes,no,no,yes,no,no,no,no,no
2066,793,doing okay,poor,only fair,no,no,yes,no,no,no,no,no,no,no
2067,848,living comfortably,excellent,only fair,yes,no,yes,no,no,no,no,no,no,no
2068,1257,just getting by,good,excellent,no,no,no,no,no,no,no,no,yes,no
2069,732,living comfortably,only fair,only fair,no,no,yes,no,yes,no,no,no,no,no
2070,4921,doing okay,only fair,only fair,no,yes,yes,no,no,no,no,no,no,no
2071,1335,just getting by,good,good,no,no,no,no,no,no,no,no,no,yes
2072,776,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
2073,1240,doing okay,only fair,good,yes,yes,yes,no,no,no,no,no,no,no
2074,944,doing okay,excellent,good,yes,no,no,no,yes,no,no,no,no,no
2075,1053,just getting by,good,good,yes,yes,no,no,yes,no,no,no,no,no
2076,45299,living comfortably,good,good,no,no,yes,no,yes,no,no,no,no,no
2077,834,just getting by,good,good,yes,no,no,yes,no,no,no,no,no,no
2079,780,doing okay,excellent,good,yes,yes,no,no,no,no,yes,no,no,no
2080,1341,doing okay,only fair,good,no,no,no,yes,no,no,yes,no,no,no
2081,2660,doing okay,good,good,yes,yes,yes,no,no,no,no,no,no,no
2082,808,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
2083,1389,just getting by,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
2084,647,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
2085,1197,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
2086,641,doing okay,only fair,only fair,no,no,no,no,yes,no,no,yes,no,no
2087,1102,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
2088,7415,living comfortably,good,poor,yes,no,yes,no,yes,no,no,no,no,no
2089,4892,finding it difficult to get by,good,only fair,yes,no,no,yes,no,no,no,no,no,yes
2090,1277,living comfortably,excellent,good,no,no,yes,no,no,no,no,no,no,no
2091,2017,living comfortably,good,only fair,no,no,no,yes,yes,no,no,no,no,no
2092,741,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
2093,729,doing okay,excellent,good,yes,yes,no,yes,yes,no,no,no,no,no
2094,673,doing okay,only fair,only fair,yes,no,,,,,,,,
2095,14024,living comfortably,good,only fair,yes,no,yes,no,no,no,no,no,no,no
2096,1502,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
2097,2608,just getting by,good,good,no,no,yes,yes,no,no,no,no,no,no
2098,1855,doing okay,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
2099,2955,doing okay,only fair,only fair,yes,yes,yes,no,yes,no,no,no,no,no
2100,722,doing okay,good,excellent,yes,no,no,no,yes,no,no,no,no,no
2101,754,doing okay,good,good,yes,yes,yes,no,no,no,no,no,yes,no
2102,2964,doing okay,good,poor,no,yes,yes,yes,yes,no,no,no,no,no
2103,945,just getting by,only fair,only fair,no,no,yes,no,yes,yes,no,no,yes,no
2104,1689,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
2105,762,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
2106,659,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
2107,6402,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
2108,828,doing okay,good,only fair,yes,yes,yes,no,no,no,no,no,no,no
2109,1772,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
2110,1138,just getting by,good,only fair,yes,no,no,yes,yes,no,no,no,no,no
2111,1763,doing okay,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
2112,659,living comfortably,only fair,only fair,yes,yes,yes,no,no,no,no,no,no,no
2113,751,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
2114,685,doing okay,excellent,excellent,no,yes,no,yes,no,no,no,no,no,no
2115,1741,just getting by,only fair,good,yes,yes,no,no,yes,no,no,yes,no,no
2116,1259,living comfortably,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
2117,6038,finding it difficult to get by,only fair,poor,yes,yes,no,yes,no,no,yes,no,no,yes
2118,1167,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
2119,809,doing okay,only fair,only fair,yes,no,no,no,no,no,no,no,no,yes
2120,912,doing okay,good,good,no,yes,yes,no,yes,no,no,no,no,no
2121,1326,living comfortably,good,only fair,yes,yes,no,no,yes,no,no,no,no,no
2122,1309,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
2123,1671,doing okay,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
2124,954,living comfortably,only fair,only fair,yes,no,yes,no,yes,no,no,no,no,no
2125,21838,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
2126,5498,living comfortably,good,good,yes,no,yes,yes,yes,no,no,no,no,no
2127,3316,finding it difficult to get by,poor,only fair,no,yes,no,no,no,no,no,no,no,yes
2128,1966,living comfortably,only fair,good,no,no,no,no,yes,no,no,no,no,no
2129,1180,just getting by,poor,only fair,yes,yes,no,no,no,no,no,no,no,yes
2130,1080,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
2131,1150,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
2132,478,doing okay,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
2133,904,finding it difficult to get by,only fair,good,no,yes,no,no,no,no,no,no,no,yes
2134,937,doing okay,excellent,excellent,yes,no,yes,no,yes,no,no,no,no,no
2135,1388,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
2136,1330,living comfortably,excellent,good,no,no,yes,no,yes,no,no,no,no,no
2137,1264,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
2138,1168,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
2139,1077,doing okay,good,only fair,no,no,yes,no,no,no,no,no,yes,no
2140,970,doing okay,good,good,no,no,no,no,yes,no,no,no,no,yes
2141,1438,doing okay,only fair,only fair,yes,yes,no,yes,no,no,no,no,no,no
2142,1949,living comfortably,excellent,good,yes,no,yes,no,no,no,no,no,no,no
2143,616,living comfortably,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
2144,1368,doing okay,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
2145,1012,living comfortably,good,good,no,no,yes,no,yes,no,no,no,no,no
2146,1205,just getting by,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
2147,1327,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
2148,983,living comfortably,excellent,only fair,yes,no,yes,no,no,no,no,no,no,no
2149,926,living comfortably,good,good,no,no,yes,no,yes,no,no,no,no,no
2150,1523,doing okay,good,good,yes,yes,yes,no,no,no,no,no,no,no
2151,783,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
2152,655,doing okay,good,only fair,no,no,no,no,no,no,no,no,yes,no
2153,2656,doing okay,only fair,only fair,no,yes,no,no,yes,no,no,no,no,no
2154,2671,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
2155,887,living comfortably,excellent,excellent,no,no,yes,no,no,no,no,no,no,no
2156,1869,just getting by,good,only fair,yes,no,no,yes,no,no,no,no,no,no
2157,843,doing okay,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
2158,744,doing okay,good,only fair,yes,yes,yes,no,no,no,no,no,no,no
2159,2079,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
2160,882,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
2161,593,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
2162,914,just getting by,good,good,no,yes,yes,no,no,no,no,no,no,no
2163,780,living comfortably,excellent,excellent,no,no,yes,no,no,no,no,no,no,no
2164,608,just getting by,only fair,only fair,yes,no,no,yes,no,no,no,no,no,no
2165,950,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
2166,1814,doing okay,good,good,yes,yes,yes,no,no,no,no,no,no,no
2167,917,living comfortably,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
2168,1172,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
2169,1190,doing okay,excellent,good,yes,no,yes,no,no,no,no,no,no,no
2170,1129,doing okay,good,excellent,no,no,no,yes,no,no,no,no,no,no
2171,3176,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
2172,1558,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
2173,707,living comfortably,excellent,excellent,yes,no,no,no,yes,no,no,no,no,no
2174,828,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
2175,711,doing okay,good,only fair,yes,no,yes,no,no,no,no,no,no,no
2176,1923,living comfortably,good,excellent,no,no,yes,no,no,no,no,no,no,no
2177,902,just getting by,only fair,poor,yes,no,no,no,yes,no,no,no,no,no
2178,641,living comfortably,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
2179,614,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
2180,1098,just getting by,excellent,good,yes,yes,no,no,yes,no,no,no,no,no
2181,1603,doing okay,good,only fair,no,no,no,no,yes,no,no,no,no,no
2182,783,living comfortably,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
2183,1042,doing okay,only fair,only fair,no,yes,no,no,yes,no,no,no,no,no
2184,1488,doing okay,good,good,no,no,no,yes,no,no,no,no,no,no
2185,868,living comfortably,excellent,good,no,no,yes,no,no,no,no,no,no,no
2186,790,living comfortably,excellent,good,yes,no,no,no,yes,no,no,no,no,no
2187,1495,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
2188,406,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
2189,1334,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
2190,1377,just getting by,only fair,good,yes,no,no,no,no,no,no,no,no,yes
2191,2695,doing okay,only fair,good,no,no,no,no,yes,no,no,no,no,no
2192,4396,doing okay,good,only fair,no,no,yes,no,no,no,no,no,no,no
2193,893,just getting by,only fair,only fair,yes,no,no,yes,no,no,no,no,no,no
2194,998,just getting by,only fair,poor,yes,no,no,no,yes,no,no,no,no,no
2195,629,doing okay,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
2196,3848,living comfortably,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
2197,1320,living comfortably,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
2198,1178,doing okay,only fair,only fair,no,no,no,no,yes,no,yes,no,no,no
2199,875,living comfortably,excellent,excellent,no,no,yes,no,no,no,no,no,no,no
2200,1063,finding it difficult to get by,good,good,yes,yes,no,yes,no,no,no,no,no,no
2201,917,doing okay,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
2202,1290,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
